GENE,NUM_VARIATIONS,VARIATION_TYPES,GENE_LENGTH,TOTAL_LENGTH
BLACE,4,snp(4),125,1249
BLACE_flank,87,"snp(54), ins(16), complex(1), del(15), mnp(1)",125,1249
FAM30A,41,"snp(31), ins(7), del(3)",839,8389
FAM30A_flank,290,"snp(232), del(21), ins(28), mnp(7), complex(2)",839,8389
LINC00459,1,del(1),80,800
LINC00459_flank,16,"del(2), ins(6), snp(8)",80,800
LINC01671,53,"snp(21), del(5), ins(22), complex(4), mnp(1)",1445,14449
LINC01671_flank,119,"del(5), ins(1), snp(112), mnp(1)",1445,14449
MIR3689A,3,"ins(1), snp(2)",78,780
MIR3689A_flank,81,"snp(47), del(13), ins(7), mnp(14)",78,780
MIR4538 ,13,"snp(11), mnp(1), del(1)",78,780
MIR4538 _flank,101,"snp(81), del(7), mnp(8), ins(5)",78,780
RCCD1-AS1,12,"snp(1), del(3), ins(8)",159,1589
RCCD1-AS1_flank,12,snp(12),159,1589
RNU5D-1,18,snp(18),100,1000
RNU5D-1_flank,31,"snp(27), del(3), ins(1)",100,1000
RNU5E-1,17,"snp(16), mnp(1)",119,1189
RNU5E-1_flank,54,"snp(43), del(3), ins(6), mnp(2)",119,1189
RNU5F-1,18,"snp(16), ins(2)",116,1160
RNU5F-1_flank,23,"snp(21), del(1), ins(1)",116,1160
RNU6-9,3,snp(3),107,1069
RNU6-9_flank,12,"snp(10), del(1), ins(1)",107,1069
SNAR-A1,25,"snp(17), mnp(3), del(3), ins(2)",121,1209
SNAR-A1_flank,58,"snp(49), mnp(2), del(3), ins(4)",121,1209
SNAR-B2,4,snp(4),120,1200
SNAR-B2_flank,31,"snp(26), del(1), mnp(2), ins(2)",120,1200
SNAR-C3,17,"snp(11), mnp(3), del(1), ins(2)",119,1189
SNAR-C3_flank,41,"snp(36), mnp(1), del(2), ins(2)",119,1189
SNAR-C4,19,"snp(16), mnp(2), del(1)",120,1200
SNAR-C4_flank,64,"snp(53), mnp(4), del(7)",120,1200
SNAR-F,10,"snp(7), ins(2), complex(1)",123,1229
SNAR-F_flank,19,"snp(11), mnp(1), del(3), complex(1), ins(3)",123,1229
SNAR-G1,8,"snp(4), del(2), ins(2)",128,1280
SNAR-G1_flank,22,"snp(17), del(3), ins(2)",128,1280
SNAR-G2,7,snp(7),119,1189
SNAR-G2_flank,40,"snp(36), mnp(1), del(3)",119,1189
SNORD118,17,snp(17),137,1369
SNORD118_flank,42,"snp(35), ins(4), del(1), mnp(2)",137,1369
SNORD13,5,snp(5),104,1040
SNORD13_flank,26,"snp(25), ins(1)",104,1040
SYT15-AS1,96,"snp(46), mnp(1), del(15), ins(30), complex(4)",970,9700
SYT15-AS1_flank,135,"snp(98), del(9), ins(26), mnp(2)",970,9700
TRA-AGC1-1,3,snp(3),72,720
TRA-AGC1-1_flank,9,"del(1), snp(8)",72,720
TRA-AGC11-1,2,snp(2),73,729
TRA-AGC11-1_flank,3,snp(3),73,729
TRA-AGC15-1,6,snp(6),73,729
TRA-AGC15-1_flank,26,"snp(8), del(2), ins(16)",73,729
TRA-AGC20-1,1,snp(1),71,709
TRA-AGC20-1_flank,9,"snp(7), ins(2)",71,709
TRA-AGC4-1,0,SNP,72,720
TRA-AGC4-1_flank,11,"snp(5), mnp(1), del(3), ins(2)",72,720
TRA-AGC5-1,4,"snp(3), del(1)",72,720
TRA-AGC5-1_flank,13,"snp(11), ins(2)",72,720
TRA-CGC2-1,0,SNP,72,720
TRA-CGC2-1_flank,8,snp(8),72,720
TRA-CGC4-1,2,snp(2),72,720
TRA-CGC4-1_flank,13,snp(13),72,720
TRA-CGC5-1-001,3,snp(3),72,720
TRA-CGC5-1-001_flank,4,snp(4),72,720
TRA-TGC4-1,1,snp(1),72,720
TRA-TGC4-1_flank,14,snp(14),72,720
TRC-GCA11-1,2,snp(2),72,720
TRC-GCA11-1_flank,12,snp(12),72,720
TRC-GCA4-1,0,SNP,72,720
TRC-GCA4-1_flank,12,"snp(7), del(3), ins(1), mnp(1)",72,720
TRD-GTC2-8,54,"ins(50), snp(4)",72,720
TRD-GTC2-8_flank,75,"snp(56), mnp(3), del(4), ins(11), complex(1)",72,720
TRE-TTC2-1,1,snp(1),72,720
TRE-TTC2-1_flank,11,"snp(10), mnp(1)",72,720
TRE-TTC3-1,4,snp(4),72,720
TRE-TTC3-1_flank,18,snp(18),72,720
TRE-TTC5-1,10,"snp(8), mnp(1), complex(1)",72,720
TRE-TTC5-1_flank,30,"snp(28), mnp(1), del(1)",72,720
TRF-GAA1-4,2,snp(2),73,729
TRF-GAA1-4_flank,13,snp(13),73,729
TRF-GAA2-1,0,SNP,73,729
TRF-GAA2-1_flank,4,snp(4),73,729
TRG-CCC2-1,1,snp(1),71,709
TRG-CCC2-1_flank,4,snp(4),71,709
TRG-CCC5-1,10,"snp(9), mnp(1)",71,709
TRG-CCC5-1_flank,75,"snp(58), mnp(15), del(1), ins(1)",71,709
TRG-CCC6-1,2,snp(2),71,709
TRG-CCC6-1_flank,6,snp(6),71,709
TRG-TCC1-1,0,SNP,72,720
TRG-TCC1-1_flank,19,"snp(13), ins(5), del(1)",72,720
TRG1,4,snp(4),71,709
TRG1_flank,10,"snp(9), ins(1)",71,709
TRI-AAT4-1,0,SNP,74,740
TRI-AAT4-1_flank,11,snp(11),74,740
TRI-AAT5-1,0,SNP,74,740
TRI-AAT5-1_flank,4,snp(4),74,740
TRK-CTT3-1,3,snp(3),73,729
TRK-CTT3-1_flank,7,snp(7),73,729
TRK-TTT3-2,0,SNP,73,729
TRK-TTT3-2_flank,16,"snp(12), del(4)",73,729
TRK-TTT4-1,3,snp(3),73,729
TRK-TTT4-1_flank,6,snp(6),73,729
TRK-TTT7-1,7,snp(7),73,729
TRK-TTT7-1_flank,11,snp(11),73,729
TRL-AAG2-4,3,snp(3),82,820
TRL-AAG2-4_flank,3,snp(3),82,820
TRL-TAA4-1,7,snp(7),83,829
TRL-TAA4-1_flank,14,"snp(12), ins(2)",83,829
TRL-TAG2-1,0,SNP,82,820
TRL-TAG2-1_flank,16,snp(16),82,820
TRM-CAT2-1,0,SNP,73,729
TRM-CAT2-1_flank,10,snp(10),73,729
TRM-CAT3-2,3,snp(3),73,729
TRM-CAT3-2_flank,12,"snp(10), del(1), ins(1)",73,729
TRN-GTT2-4,3,"snp(2), mnp(1)",74,740
TRN-GTT2-4_flank,19,snp(19),74,740
TRP-AGG1-1,8,snp(8),72,720
TRP-AGG1-1_flank,18,"snp(17), mnp(1)",72,720
TRP-TGG2-1,0,SNP,72,720
TRP-TGG2-1_flank,9,snp(9),72,720
TRQ-CTG6-1,0,SNP,72,720
TRQ-CTG6-1_flank,9,"snp(7), ins(2)",72,720
TRQ-TTG2-1,0,SNP,72,720
TRQ-TTG2-1_flank,8,snp(8),72,720
TRR-ACG2-3,0,SNP,73,729
TRR-ACG2-3_flank,9,snp(9),73,729
TRR-TCG1-1,1,snp(1),73,729
TRR-TCG1-1_flank,12,"snp(11), mnp(1)",73,729
TRR-TCG3-1,0,SNP,73,729
TRR-TCG3-1_flank,3,snp(3),73,729
TRS-AGA2-6,1,snp(1),82,820
TRS-AGA2-6_flank,13,snp(13),82,820
TRT-AGT1-2,0,SNP,74,740
TRT-AGT1-2_flank,7,snp(7),74,740
TRT-TGT2-1,1,snp(1),73,729
TRT-TGT2-1_flank,6,snp(6),73,729
TRT-TGT5-1,0,SNP,73,729
TRT-TGT5-1_flank,14,snp(14),73,729
TRV,4,snp(4),73,729
TRV-AAC5-1,5,snp(5),73,729
TRV-AAC5-1_flank,14,"snp(4), del(6), ins(4)",73,729
TRV-CAC1-5,0,SNP,73,729
TRV-CAC1-5_flank,17,"snp(11), ins(6)",73,729
TRV-TAC1-1,1,snp(1),73,729
TRV-TAC1-1_flank,8,snp(8),73,729
TRV_flank,17,"snp(10), ins(6), mnp(1)",73,729
TRX-CAT1-5,0,SNP,72,720
TRX-CAT1-5_flank,5,snp(5),72,720
Val-tRNA,3,"snp(2), mnp(1)",73,729
Val-tRNA_flank,18,"snp(14), mnp(1), ins(2), del(1)",73,729
lnc-SLCO4A1-8,29,"snp(10), del(6), ins(13)",587,5869
lnc-SLCO4A1-8_flank,59,snp(59),587,5869
tRNA-Ala-CGC-1-1,0,SNP,72,720
tRNA-Ala-CGC-1-1_flank,8,snp(8),72,720
tRNA-Ala-CGC-3-1,1,snp(1),72,720
tRNA-Ala-CGC-3-1_flank,8,snp(8),72,720
tRNA-Ala-TGC-2-1,0,SNP,72,720
tRNA-Ala-TGC-2-1_flank,9,"snp(6), del(3)",72,720
tRNA-Ala-TGC-3-1,0,SNP,72,720
tRNA-Ala-TGC-3-1_flank,16,snp(16),72,720
tRNA-Arg-ACG-1-2,1,snp(1),73,729
tRNA-Arg-ACG-1-2_flank,14,"snp(11), mnp(1), ins(1), del(1)",73,729
tRNA-Arg-CCT-2-1,0,SNP,73,729
tRNA-Arg-CCT-2-1_flank,8,snp(8),73,729
tRNA-Arg-CCT-3-1,0,SNP,73,729
tRNA-Arg-CCT-3-1_flank,15,snp(15),73,729
tRNA-Arg-TCG-4-1,0,SNP,73,729
tRNA-Arg-TCG-4-1_flank,6,snp(6),73,729
tRNA-Asn-GTT-1-1,9,snp(9),74,740
tRNA-Asn-GTT-1-1_flank,31,"mnp(2), snp(29)",74,740
tRNA-Asn-GTT-3-2,3,snp(3),74,740
tRNA-Asn-GTT-3-2_flank,11,snp(11),74,740
tRNA-Asn-GTT-4-1,5,"ins(1), snp(4)",74,740
tRNA-Asn-GTT-4-1_flank,10,snp(10),74,740
tRNA-Asp-GTC-1-1,0,SNP,72,720
tRNA-Asp-GTC-1-1_flank,17,snp(17),72,720
tRNA-Gln-CTG-2-1,4,snp(4),72,720
tRNA-Gln-CTG-2-1_flank,11,"snp(10), mnp(1)",72,720
tRNA-Gln-TTG-3-1,0,SNP,72,720
tRNA-Gln-TTG-3-1_flank,10,snp(10),72,720
tRNA-Glu-CTC-1-2,0,SNP,72,720
tRNA-Glu-CTC-1-2_flank,6,"del(1), ins(1), snp(4)",72,720
tRNA-Glu-TTC-4-1,1,snp(1),72,720
tRNA-Glu-TTC-4-1_flank,10,snp(10),72,720
tRNA-Gly-CCC-4-1,18,"mnp(3), snp(13), ins(2)",71,709
tRNA-Gly-CCC-4-1_flank,103,"snp(70), mnp(30), ins(2), del(1)",71,709
tRNA-Gly-GCC-2-4,10,"snp(9), mnp(1)",71,709
tRNA-Gly-GCC-2-4_flank,38,"snp(30), mnp(7), ins(1)",71,709
tRNA-Gly-TCC-3-1,2,snp(2),72,720
